filename,word_count,ten_grams
WR-P-P-B-0000000197.dcoi.xml,33764,33755
WR-P-P-B-0000000198.dcoi.xml,142671,142662
WR-P-P-B-0000000199.dcoi.xml,95759,95750
WR-P-P-B-0000000200.dcoi.xml,137670,137661
WR-P-P-B-0000000201.dcoi.xml,112337,112328
WR-P-P-B-0000000202.dcoi.xml,149597,149588
WR-P-P-B-0000000203.dcoi.xml,254842,254833
WR-P-P-B-0000000204.dcoi.xml,110551,110542
WR-P-P-B-0000000205.dcoi.xml,149292,149283
WR-P-P-B-0000000206.dcoi.xml,108545,108536
WR-P-P-B-0000000207.dcoi.xml,29566,29557
WR-P-P-B-0000000208.dcoi.xml,120149,120140
WR-P-P-B-0000000209.dcoi.xml,122265,122256
WR-P-P-B-0000000210.dcoi.xml,115549,115540
WR-P-P-B-0000000211.dcoi.xml,33542,33533
WR-P-P-B-0000000212.dcoi.xml,81515,81506
WR-P-P-B-0000000213.dcoi.xml,79738,79729
WR-P-P-B-0000000214.dcoi.xml,87463,87454
WR-P-P-B-0000000215.dcoi.xml,104380,104371
WR-P-P-B-0000000216.dcoi.xml,75156,75147
WR-P-P-B-0000000217.dcoi.xml,92458,92449
WR-P-P-B-0000000218.dcoi.xml,66633,66624
WR-P-P-B-0000000219.dcoi.xml,56789,56780
WR-P-P-B-0000000220.dcoi.xml,57828,57819
WR-P-P-B-0000000221.dcoi.xml,57749,57740
WR-P-P-B-0000000222.dcoi.xml,54112,54103
WR-P-P-B-0000000223.dcoi.xml,167417,167408
WR-P-P-B-0000000224.dcoi.xml,73170,73161
WR-P-P-B-0000000225.dcoi.xml,113650,113641
WR-P-P-B-0000000226.dcoi.xml,82736,82727
WR-P-P-B-0000000227.dcoi.xml,45768,45759
WR-P-P-B-0000000228.dcoi.xml,136314,136305
WR-P-P-B-0000000229.dcoi.xml,137958,137949
WR-P-P-B-0000000230.dcoi.xml,130008,129999
WR-P-P-B-0000000231.dcoi.xml,143173,143164
WR-P-P-B-0000000232.dcoi.xml,138995,138986
WR-P-P-B-0000000233.dcoi.xml,142131,142122
WR-P-P-B-0000000234.dcoi.xml,58595,58586
WR-P-P-B-0000000235.dcoi.xml,128751,128742
WR-P-P-B-0000000236.dcoi.xml,63934,63925
WR-P-P-B-0000000237.dcoi.xml,72510,72501
WR-P-P-B-0000000238.dcoi.xml,119207,119198
